# z	dc	dL	dVc_dz
2.720000000000000195e+00	6.238624922308674492e+00	2.320768471098827135e+01	5.320829906859316907e+02
2.729999999999999982e+00	6.249503992033774047e+00	2.331064989028597978e+01	5.318843755421182777e+02
2.740000000000000213e+00	6.260341171592957110e+00	2.341367598175765963e+01	5.316803011683845170e+02
2.750000000000000000e+00	6.271136719834711215e+00	2.351676269938016617e+01	5.314708470393999278e+02
2.760000000000000231e+00	6.281890893481822502e+00	2.361990975949165161e+01	5.312560916326513052e+02
2.770000000000000018e+00	6.292603947152211497e+00	2.372311688076383618e+01	5.310361124404189468e+02
2.780000000000000249e+00	6.303276133379533519e+00	2.382638378417463798e+01	5.308109859816319158e+02
2.790000000000000036e+00	6.313907702633573926e+00	2.392971019298124347e+01	5.305807878136047293e+02
2.800000000000000266e+00	6.324498903340418643e+00	2.403309583269359351e+01	5.303455925436518328e+02
2.810000000000000053e+00	6.335049981902410643e+00	2.413654043104818214e+01	5.301054738405844091e+02
2.819999999999999840e+00	6.345561182717895932e+00	2.424004371798235979e+01	5.298605044460857698e+02
2.830000000000000071e+00	6.356032748200755478e+00	2.434360542560889584e+01	5.296107561859685120e+02
2.839999999999999858e+00	6.366464918799736417e+00	2.444722528819098528e+01	5.293562999813138958e+02
2.850000000000000089e+00	6.376857933017564761e+00	2.455090304211762842e+01	5.290972058594906002e+02
2.859999999999999876e+00	6.387212027429864492e+00	2.465463842587928056e+01	5.288335429650569495e+02
2.870000000000000107e+00	6.397527436703869697e+00	2.475843118004397780e+01	5.285653795705450193e+02
2.879999999999999893e+00	6.407804393616938654e+00	2.486228104723371857e+01	5.282927830871293509e+02
2.890000000000000124e+00	6.418043129074865405e+00	2.496618777210122886e+01	5.280158200751773165e+02
